x,y
0.7033,0.8975
0.7075,0.8975
0.7075,0.8994
0.7079,0.8994
0.7079,0.9032
0.7157,0.9032
0.7157,0.9051
0.7188,0.9051
0.7188,0.907
0.7205,0.907
0.7205,0.9089
0.7211,0.9089
0.7211,0.9108
0.7217,0.9108
0.7217,0.9127
0.7263,0.9127
0.7263,0.9146
0.7266,0.9146
0.7266,0.9165
0.7354,0.9165
0.7354,0.9184
0.7382,0.9184
0.7382,0.9203
0.7429,0.9203
0.7429,0.9222
0.7478,0.9222
0.7478,0.926
0.7519,0.926
0.7519,0.9279
0.7528,0.9279
0.7528,0.9317
0.7574,0.9317
0.7574,0.9336
0.758,0.9336
0.758,0.9355
0.7608,0.9355
0.7608,0.9374
0.7628,0.9374
0.7628,0.9393
0.764,0.9393
0.764,0.9412
0.7649,0.9412
0.7649,0.9431
0.7684,0.9431
0.7684,0.945
0.7718,0.945
0.7718,0.9469
0.7727,0.9469
0.7727,0.9488
0.7736,0.9488
0.7736,0.9507
0.7742,0.9507
0.7742,0.9526
0.7763,0.9526
0.7763,0.9564
0.7781,0.9564
0.7781,0.9583
0.7893,0.9583
0.7893,0.9602
0.7894,0.9602
0.7894,0.962
0.7981,0.962
0.7981,0.9639
0.8013,0.9639
0.8013,0.9658
0.8016,0.9658
0.8016,0.9677
0.8026,0.9677
0.8026,0.9696
0.8055,0.9696
0.8055,0.9715
0.8155,0.9715
0.8155,0.9734
0.8241,0.9734
0.8241,0.9753
0.8283,0.9753
0.8283,0.9772
0.8389,0.9772
0.8389,0.9791
0.8441,0.9791
0.8441,0.981
0.8493,0.981
0.8493,0.9829
0.8499,0.9829
0.8499,0.9848
0.858,0.9848
0.858,0.9867
0.8714,0.9867
0.8714,0.9886
0.8762,0.9886
0.8762,0.9905
0.9349,0.9905
0.9349,0.9924
0.9381,0.9924
0.9381,0.9962
0.9396,0.9962
0.9396,0.9981
0.94,0.9981
0.94,1.0
0.9944,1.0
0.9947,1.0
1.0,1.0
