x,y
0.8135,0.9736
0.8135,0.9742
0.8142,0.9742
0.8142,0.9748
0.8277,0.9748
0.8277,0.9755
0.8287,0.9755
0.8287,0.9761
0.8327,0.9761
0.8327,0.9767
0.8399,0.9767
0.8399,0.978
0.8416,0.978
0.8416,0.9786
0.8449,0.9786
0.8449,0.9792
0.8476,0.9792
0.8476,0.9799
0.8479,0.9799
0.8479,0.9805
0.8528,0.9805
0.8528,0.9811
0.8611,0.9811
0.8611,0.9824
0.8796,0.9824
0.8796,0.983
0.8846,0.983
0.8846,0.9836
0.8889,0.9836
0.8889,0.9843
0.8915,0.9843
0.8915,0.9849
0.8919,0.9849
0.8919,0.9862
0.8929,0.9862
0.8929,0.9868
0.8952,0.9868
0.8952,0.9874
0.8968,0.9874
0.8968,0.988
0.8985,0.988
0.8985,0.9893
0.9008,0.9893
0.9008,0.9899
0.9024,0.9899
0.9028,0.9906
0.9054,0.9906
0.9054,0.9912
0.9074,0.9912
0.9074,0.9918
0.9081,0.9918
0.9081,0.9931
0.9117,0.9931
0.9117,0.9943
0.9137,0.9943
0.9137,0.995
0.9147,0.995
0.9147,0.9956
0.917,0.9956
0.917,0.9962
0.922,0.9962
0.922,0.9969
0.9312,0.9969
0.9312,0.9975
0.9325,0.9975
0.9325,0.9981
0.9345,0.9981
0.9345,0.9987
0.9401,0.9987
0.9401,0.9994
0.9557,0.9994
0.9557,1.0
1.0,1.0
