x,y
0.0913,0.4654
0.0919,0.4654
0.0919,0.4681
0.0932,0.4681
0.0932,0.4737
0.0945,0.4737
0.0945,0.4792
0.0958,0.4792
0.0958,0.482
0.0968,0.482
0.0968,0.4848
0.0971,0.4848
0.0971,0.4875
0.1026,0.4875
0.1026,0.4903
0.1065,0.4903
0.1065,0.4931
0.1159,0.4931
0.1159,0.4958
0.1204,0.4958
0.1204,0.4986
0.1217,0.4986
0.1217,0.5014
0.122,0.5014
0.122,0.5042
0.1237,0.5042
0.1237,0.5069
0.124,0.5069
0.124,0.5097
0.1246,0.5097
0.1246,0.5125
0.1256,0.5125
0.1256,0.5152
0.1285,0.5152
0.1285,0.518
0.1292,0.518
0.1292,0.5208
0.1321,0.5208
0.1321,0.5235
0.1324,0.5235
0.1324,0.5263
0.1334,0.5263
0.1334,0.5291
0.1343,0.5291
0.1343,0.5319
0.1392,0.5319
0.1392,0.5346
0.1395,0.5346
0.1395,0.5374
0.1434,0.5374
0.1434,0.5402
0.1437,0.5402
0.1437,0.5429
0.145,0.5429
0.145,0.5457
0.146,0.5457
0.146,0.5485
0.1492,0.5485
0.1492,0.5512
0.1515,0.5512
0.1515,0.554
0.1528,0.554
0.1528,0.5568
0.157,0.5568
0.157,0.5596
0.1622,0.5596
0.1622,0.5623
0.1641,0.5623
0.1641,0.5651
0.1706,0.5651
0.1706,0.5679
0.1722,0.5679
0.1722,0.5706
0.1735,0.5706
0.1735,0.5734
0.1781,0.5734
0.1781,0.5762
0.1784,0.5762
0.1784,0.5789
0.1787,0.5789
0.1787,0.5817
0.1871,0.5817
0.1871,0.5845
0.1959,0.5845
0.1959,0.5873
0.1981,0.5873
0.1981,0.59
0.1997,0.59
0.1997,0.5928
0.2023,0.5928
0.2023,0.5956
0.2062,0.5956
0.2062,0.5983
0.2075,0.5983
0.2075,0.6011
0.2085,0.6011
0.2085,0.6039
0.2095,0.6039
0.2095,0.6066
0.2104,0.6066
0.2104,0.6094
0.2114,0.6094
0.2114,0.6122
0.2117,0.6122
0.2117,0.615
0.2124,0.615
0.2124,0.6288
0.2133,0.6288
0.2133,0.6316
0.2137,0.6316
0.2137,0.6343
0.2146,0.6343
0.2146,0.6371
0.2159,0.6371
0.2159,0.6399
0.2182,0.6399
0.2182,0.6427
0.2201,0.6427
0.2201,0.6454
0.2205,0.6454
0.2205,0.6482
0.2214,0.6482
0.2214,0.651
